Tm,Tm_pred,Tg,Tg_pred,model_id,model
130.0,92.73007,,54.179573,0,MPNN_RBF_dblPm
130.0,93.238174,,54.096165,0,MPNN_RBF_dblPm
130.0,93.09626,,54.124214,0,MPNN_RBF_dblPm
130.0,92.87557,,54.155014,0,MPNN_RBF_dblPm
130.0,93.08906,,54.120335,0,MPNN_RBF_dblPm
,105.43906,3.0,7.350636,0,MPNN_RBF_dblPm
,106.29108,3.0,7.324737,0,MPNN_RBF_dblPm
,106.29108,3.0,7.3247385,0,MPNN_RBF_dblPm
,106.29108,3.0,7.324737,0,MPNN_RBF_dblPm
,105.43906,3.0,7.350637,0,MPNN_RBF_dblPm
,128.91153,38.0,39.73379,0,MPNN_RBF_dblPm
,128.19676,38.0,39.544037,0,MPNN_RBF_dblPm
,129.08302,38.0,39.75553,0,MPNN_RBF_dblPm
,128.91151,38.0,39.733788,0,MPNN_RBF_dblPm
,128.96095,38.0,39.73344,0,MPNN_RBF_dblPm
,91.10467,22.0,21.17432,0,MPNN_RBF_dblPm
,90.965775,22.0,20.941668,0,MPNN_RBF_dblPm
,91.0377,22.0,21.018148,0,MPNN_RBF_dblPm
,91.01847,22.0,21.030678,0,MPNN_RBF_dblPm
,90.98722,22.0,20.990534,0,MPNN_RBF_dblPm
,126.511734,42.0,42.783367,0,MPNN_RBF_dblPm
,126.51173,42.0,42.783367,0,MPNN_RBF_dblPm
,126.480515,42.0,42.780388,0,MPNN_RBF_dblPm
,126.496506,42.0,42.784035,0,MPNN_RBF_dblPm
,126.511734,42.0,42.783367,0,MPNN_RBF_dblPm
,100.363914,42.0,42.680405,0,MPNN_RBF_dblPm
,100.35367,42.0,42.66794,0,MPNN_RBF_dblPm
,100.3835,42.0,42.636757,0,MPNN_RBF_dblPm
,100.37517,42.0,42.65274,0,MPNN_RBF_dblPm
,100.341156,42.0,42.666557,0,MPNN_RBF_dblPm
,159.6082,8.0,53.492153,0,MPNN_RBF_dblPm
,159.6082,8.0,53.492153,0,MPNN_RBF_dblPm
,159.6082,8.0,53.492157,0,MPNN_RBF_dblPm
,156.00499,8.0,53.005962,0,MPNN_RBF_dblPm
,156.00499,8.0,53.005962,0,MPNN_RBF_dblPm
142.0,148.66327,47.0,45.540363,0,MPNN_RBF_dblPm
142.0,148.48279,47.0,45.831646,0,MPNN_RBF_dblPm
142.0,147.40938,47.0,44.661854,0,MPNN_RBF_dblPm
142.0,148.4238,47.0,45.058174,0,MPNN_RBF_dblPm
142.0,148.66357,47.0,45.540443,0,MPNN_RBF_dblPm
,255.31886,101.0,124.78238,1,MPNN_RBF_dblPm
,255.46684,101.0,124.59949,1,MPNN_RBF_dblPm
,255.52649,101.0,124.797966,1,MPNN_RBF_dblPm
,255.42195,101.0,124.638214,1,MPNN_RBF_dblPm
,255.37415,101.0,124.619026,1,MPNN_RBF_dblPm
,240.17516,131.0,126.18721,1,MPNN_RBF_dblPm
,240.1209,131.0,126.164116,1,MPNN_RBF_dblPm
,240.29906,131.0,126.186874,1,MPNN_RBF_dblPm
,239.18755,131.0,125.85076,1,MPNN_RBF_dblPm
,240.14035,131.0,126.15082,1,MPNN_RBF_dblPm
,216.67566,112.0,112.004,1,MPNN_RBF_dblPm
,216.35507,112.0,111.89579,1,MPNN_RBF_dblPm
,216.42844,112.0,111.938515,1,MPNN_RBF_dblPm
,215.86899,112.0,111.68279,1,MPNN_RBF_dblPm
,216.36787,112.0,111.90706,1,MPNN_RBF_dblPm
,167.01266,100.0,100.36648,1,MPNN_RBF_dblPm
,167.12105,100.0,100.482735,1,MPNN_RBF_dblPm
,167.16402,100.0,100.50186,1,MPNN_RBF_dblPm
,167.0768,100.0,100.41293,1,MPNN_RBF_dblPm
,167.25024,100.0,100.58538,1,MPNN_RBF_dblPm
157.5,127.9324,,-8.231995,1,MPNN_RBF_dblPm
157.5,127.9324,,-8.231993,1,MPNN_RBF_dblPm
