,Model,model_id,Tg_MAE,Tg_RMSE,Tm_MAE,Tm_RMSE
18,Ada_pm,8,15.160956397174976,17.73034348960327,20.719360342295893,24.171881986851496
19,Ada_pm,9,13.418243376521822,16.956014343886228,22.870868604651264,31.645390162471475
20,ET_no_pm,0,9.822916698205702,19.990914308339114,12.27188297140384,16.446991804893646
21,ET_no_pm,1,7.084036386607717,11.91488381057615,22.687406832383562,31.24473513854986
22,ET_no_pm,2,12.222837451108399,23.352191360309515,21.70603333195791,43.439594763989795
23,ET_no_pm,3,10.531968777817006,19.517431013622808,20.518106716745418,28.240290238058137
24,ET_no_pm,4,15.76534838334671,27.617935435332928,28.46324143530113,42.62071474436687
25,ET_no_pm,5,9.025024811325913,15.68694119199031,25.254165634005542,33.66333379667021
26,ET_no_pm,6,12.181160590039593,23.13080779603609,18.898911113212378,28.859120609627677
27,ET_no_pm,7,12.530154060782479,22.35620388359242,19.204348804273074,27.071515355802816
28,ET_no_pm,8,9.128513719,16.595163030692078,12.304665738522385,18.478527224858908
29,ET_no_pm,9,8.564256942,15.499510923939422,22.04044630786256,32.111231048007134
30,ET_pm,0,7.351261403516007,15.356700054784127,11.584283209082992,15.637119488651678
31,ET_pm,1,5.323469511,8.031168182631859,14.93351358035242,21.352601226411707
32,ET_pm,2,10.791959998270254,20.767848453750293,20.366618970973683,42.00675539444712
33,ET_pm,3,6.254364843,9.667602502511176,17.648796108199832,23.918967554188573
34,ET_pm,4,10.506422097480066,19.252541823997923,21.794895749623574,35.53513817436304
35,ET_pm,5,7.529635137148419,12.629948369400736,20.835634543114118,25.717219397194103
36,ET_pm,6,9.363408700697198,15.230461032246547,16.252091967120872,25.868019429851774
37,ET_pm,7,8.406634371130785,14.807371029325996,12.266360783662686,16.25241925
38,ET_pm,8,8.058556207706685,12.215121448546586,9.978130772797494,13.690938811519935
39,ET_pm,9,6.720720295059657,10.68850106,14.569989738607521,23.313206192823785
40,GB_no_pm,0,10.17625478315879,20.17326248368225,13.642882437046103,20.062042032331725
41,GB_no_pm,1,6.878557743912841,11.41715693526757,23.385240448163913,31.875438917252954
42,GB_no_pm,2,11.951357651622644,22.813874222486067,24.76505554045253,46.89166034843427
43,GB_no_pm,3,12.145084539024491,22.20586953038893,22.598711126461353,30.660998476754386
44,GB_no_pm,4,16.73439235767136,30.22755710853792,26.13534489,41.35013938494306
45,GB_no_pm,5,8.625630655849164,14.883270546267736,29.336938230149947,49.078776465922125
46,GB_no_pm,6,12.067202698580346,23.50562814378884,20.67148791946566,30.159637042632458
47,GB_no_pm,7,12.986627773437332,23.81395777,19.899991687268102,28.42845002515243
48,GB_no_pm,8,11.01082339421529,18.171775210976946,16.310032650593964,29.715755468388476
49,GB_no_pm,9,8.279700869961687,15.66013990326162,20.951184493960483,30.46520380931287
50,GB_pm,0,6.624411105924245,12.367428538966491,9.693949757181969,15.368743678801636
51,GB_pm,1,5.703105510361299,7.857815277569596,13.521990522697838,23.936150622833445
52,GB_pm,2,9.318592437,17.978054633570725,22.923310981886186,46.29163335599898
